"rules","support","confidence","lift"
"{Soul Harvest: The World Takes Sides} => {Apollyon: The Destroyer Is Unleashed}",0.001009684283667,0.781512605042017,580.512605042017
"{Apollyon: The Destroyer Is Unleashed} => {Soul Harvest: The World Takes Sides}",0.001009684283667,0.75,580.512605042017
"{Key of Knowledge} => {Key of Valor}",0.00103139792417597,0.772357723577236,564.605755581365
"{Key of Valor} => {Key of Knowledge}",0.00103139792417597,0.753968253968254,564.605755581365
"{Key of Knowledge} => {Key of Light}",0.0010748252051939,0.804878048780488,541.136549759658
"{Key of Light} => {Key of Knowledge}",0.0010748252051939,0.722627737226277,541.136549759658
"{Nicolae: The Rise of Antichrist} => {Soul Harvest: The World Takes Sides}",0.00102054110392148,0.661971830985915,512.37732276009
"{Soul Harvest: The World Takes Sides} => {Nicolae: The Rise of Antichrist}",0.00102054110392148,0.789915966386555,512.37732276009
"{Key of Valor} => {Key of Light}",0.001009684283667,0.738095238095238,496.237052485228
"{Key of Light} => {Key of Valor}",0.001009684283667,0.678832116788321,496.237052485228
"{Hot Six : A Stephanie Plum Novel,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00104225474443045,0.932038834951456,383.251040221914
"{Seven Up,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.0010748252051939,0.916666666666667,376.93005952381
"{Four to Score,Seven Up} => {High Five}",0.00109653884570287,0.90990990990991,374.151705276705
"{Four to Score,Three To Get Deadly : A Stephanie Plum Novel,Two for the Dough} => {High Five}",0.00108568202544839,0.909090909090909,373.814935064935
"{Tribulation Force: The Continuing Drama of Those Left Behind} => {Nicolae: The Rise of Antichrist}",0.00119425022799323,0.575916230366492,373.566846102795
"{Nicolae: The Rise of Antichrist} => {Tribulation Force: The Continuing Drama of Those Left Behind}",0.00119425022799323,0.774647887323944,373.566846102795
"{Four to Score,Hot Six : A Stephanie Plum Novel} => {High Five}",0.0010748252051939,0.9,370.076785714286
"{Four to Score,One for the Money,Three To Get Deadly : A Stephanie Plum Novel} => {High Five}",0.00102054110392148,0.895238095238095,368.118707482993
